Synonyms	Symbol	Chromosome
A1BG	A1BG	19
A1B	A1BG	19
ABG	A1BG	19
GAB	A1BG	19
HYST2477	A1BG	19
A2M	A2M	12
A2MD	A2M	12
CPAMD5	A2M	12
FWP007	A2M	12
S863-7	A2M	12
A2MP1	A2MP1	12
A2MP	A2MP1	12
NAT1	NAT1	8
AAC1	NAT1	8
MNAT	NAT1	8
NAT-1	NAT1	8
NATI	NAT1	8
NAT2	NAT2	8
AAC2	NAT2	8
NAT-2	NAT2	8
PNAT	NAT2	8
NATP	NATP	8
AACP	NATP	8
NATP1	NATP	8
SERPINA3	SERPINA3	14
AACT	SERPINA3	14
ACT	SERPINA3	14
GIG24	SERPINA3	14
GIG25	SERPINA3	14
AADAC	AADAC	3
CES5A1	AADAC	3
DAC	AADAC	3
AAMP	AAMP	2
-	AAMP	2
AANAT	AANAT	17
DSPS	AANAT	17
SNAT	AANAT	17
AARS	AARS	16
CMT2N	AARS	16
EIEE29	AARS	16
AAVS1	AAVS1	19
AAV	AAVS1	19
ABAT	ABAT	16
GABA-AT	ABAT	16
GABAT	ABAT	16
NPD009	ABAT	16
ABCA1	ABCA1	9
ABC-1	ABCA1	9
ABC1	ABCA1	9
CERP	ABCA1	9
HDLDT1	ABCA1	9
TGD	ABCA1	9
ABCA2	ABCA2	9
ABC2	ABCA2	9
ABCA3	ABCA3	16
ABC-C	ABCA3	16
ABC3	ABCA3	16
EST111653	ABCA3	16
LBM180	ABCA3	16
SMDP3	ABCA3	16
ABCB7	ABCB7	X
ABC7	ABCB7	X
ASAT	ABCB7	X
Atm1p	ABCB7	X
EST140535	ABCB7	X
ABCF1	ABCF1	6
ABC27	ABCF1	6
ABC50	ABCF1	6
ABCA4	ABCA4	1
ABC10	ABCA4	1
ABCR	ABCA4	1
ARMD2	ABCA4	1
CORD3	ABCA4	1
FFM	ABCA4	1
RMP	ABCA4	1
RP19	ABCA4	1
STGD	ABCA4	1
STGD1	ABCA4	1
ABL1	ABL1	9
ABL	ABL1	9
JTK7	ABL1	9
bcr/abl	ABL1	9
c-ABL	ABL1	9
c-ABL1	ABL1	9
p150	ABL1	9
v-abl	ABL1	9
AOC1	AOC1	7
ABP	AOC1	7
ABP1	AOC1	7
DAO	AOC1	7
DAO1	AOC1	7
KAO	AOC1	7
ABL2	ABL2	1
ABLL	ABL2	1
ARG	ABL2	1
ABO	ABO	9
A3GALNT	ABO	9
A3GALT1	ABO	9
GTB	ABO	9
NAGAT	ABO	9
ABR	ABR	17
MDB	ABR	17
ACAA1	ACAA1	3
ACAA	ACAA1	3
PTHIO	ACAA1	3
THIO	ACAA1	3
ACACA	ACACA	17
ACAC	ACACA	17
ACACAD	ACACA	17
ACC	ACACA	17
ACC1	ACACA	17
ACCA	ACACA	17
ACACB	ACACB	12
ACC2	ACACB	12
ACCB	ACACB	12
HACC275	ACACB	12
ACADL	ACADL	2
ACAD4	ACADL	2
LCAD	ACADL	2
ACADM	ACADM	1
ACAD1	ACADM	1
MCAD	ACADM	1
MCADH	ACADM	1
ACADS	ACADS	12
ACAD3	ACADS	12
SCAD	ACADS	12
ACADSB	ACADSB	10
2-MEBCAD	ACADSB	10
ACAD7	ACADSB	10
SBCAD	ACADSB	10
ACADVL	ACADVL	17
ACAD6	ACADVL	17
LCACD	ACADVL	17
VLCAD	ACADVL	17
ACAT1	ACAT1	11
ACAT	ACAT1	11
MAT	ACAT1	11
T2	ACAT1	11
THIL	ACAT1	11
ACAT2	ACAT2	6
-	ACAT2	6
ASIC2	ASIC2	17
ACCN	ASIC2	17
ACCN1	ASIC2	17
ASIC2a	ASIC2	17
BNC1	ASIC2	17
BNaC1	ASIC2	17
MDEG	ASIC2	17
hBNaC1	ASIC2	17
ASIC1	ASIC1	12
ACCN2	ASIC1	12
ASIC	ASIC1	12
BNaC2	ASIC1	12
ACHE	ACHE	7
ACEE	ACHE	7
ARACHE	ACHE	7
N-ACHE	ACHE	7
YT	ACHE	7
ACLS	ACLS	12
-	ACLS	12
ACLY	ACLY	17
ACL	ACLY	17
ATPCL	ACLY	17
CLATP	ACLY	17
ACO1	ACO1	9
ACONS	ACO1	9
HEL60	ACO1	9
IREB1	ACO1	9
IREBP	ACO1	9
IREBP1	ACO1	9
IRP1	ACO1	9
ACR	ACR	22
-	ACR	22
ACO2	ACO2	22
ACONM	ACO2	22
HEL-S-284	ACO2	22
ICRD	ACO2	22
OCA8	ACO2	22
OPA9	ACO2	22
ACOX1	ACOX1	17
ACOX	ACOX1	17
PALMCOX	ACOX1	17
SCOX	ACOX1	17
ACP1	ACP1	2
HAAP	ACP1	2
LMW-PTP	ACP1	2
LMWPTP	ACP1	2
ACP2	ACP2	11
LAP	ACP2	11
ACP5	ACP5	19
HPAP	ACP5	19
TRACP5a	ACP5	19
TRACP5b	ACP5	19
TRAP	ACP5	19
TrATPase	ACP5	19
ACPP	ACPP	3
5'-NT	ACPP	3
ACP-3	ACPP	3
ACP3	ACPP	3
ACRV1	ACRV1	11
D11S4365	ACRV1	11
SP-10	ACRV1	11
SPACA2	ACRV1	11
ACTA1	ACTA1	1
ACTA	ACTA1	1
ASMA	ACTA1	1
CFTD	ACTA1	1
CFTD1	ACTA1	1
CFTDM	ACTA1	1
MPFD	ACTA1	1
NEM1	ACTA1	1
NEM2	ACTA1	1
NEM3	ACTA1	1
SHPM	ACTA1	1
ACTA2	ACTA2	10
AAT6	ACTA2	10
ACTSA	ACTA2	10
